Account ID,Account Type,Branch,Customer Type,Account Balance,KYC Status,Last Transaction Date,Email Contact Attempt,SMS Contact Attempt,Phone Call Attempt,Maturity Date,Account Status
ACC0000,Investment,Abu Dhabi,Retail,52160.33,Expired,12/1/2021,Yes,Yes,No,,Dormant
ACC0001,Safe Deposit,Fujairah,Youth,228942.59,Expired,6/11/2021,No,Yes,Yes,,Dormant
ACC0002,Investment,Sharjah,Corporate,408810.48,Valid,8/1/2021,No,Yes,No,,Dormant
ACC0003,Savings/Call/Current,Abu Dhabi,Corporate,315622.58,Valid,10/4/2021,No,Yes,Yes,,Dormant
ACC0004,Investment,Fujairah,Corporate,169346.89,Valid,6/14/2021,No,Yes,No,,Dormant
ACC0005,Investment,Abu Dhabi,Corporate,239114.7,Valid,10/10/2023,Yes,No,No,,Active
ACC0006,Safe Deposit,Sharjah,VIP,137589.79,Expired,5/16/2021,Yes,Yes,No,,Dormant
ACC0007,Savings/Call/Current,Al Ain,VIP,266282.28,Expired,10/22/2021,Yes,Yes,No,,Dormant
ACC0008,Savings/Call/Current,Dubai,Retail,498304.67,Expired,2/22/2022,Yes,Yes,No,,Dormant
ACC0009,Fixed Deposit,Sharjah,Youth,264214.65,Valid,3/9/2022,Yes,Yes,Yes,3/9/2027,Active
ACC0010,Safe Deposit,Dubai,Youth,257325.76,Expired,1/22/2023,No,Yes,No,,Active
ACC0011,Safe Deposit,Abu Dhabi,Retail,26898.57,Valid,2/21/2022,No,Yes,Yes,,Dormant
ACC0012,Savings/Call/Current,Al Ain,VIP,203199.92,Valid,10/31/2021,Yes,No,Yes,,Dormant
ACC0013,Fixed Deposit,Abu Dhabi,VIP,284311.04,Expired,12/7/2021,No,Yes,Yes,12/7/2026,Active
ACC0014,Fixed Deposit,Fujairah,VIP,452480.12,Valid,11/11/2021,Yes,No,No,11/11/2026,Active
ACC0015,Investment,Fujairah,Corporate,283005.05,Expired,11/11/2021,Yes,Yes,No,,Dormant
ACC0016,Fixed Deposit,Fujairah,VIP,26697.15,Valid,12/13/2021,No,No,No,12/13/2026,Active
ACC0017,Savings/Call/Current,Dubai,VIP,369857.14,Expired,1/9/2022,Yes,No,No,,Dormant
ACC0018,Safe Deposit,Fujairah,VIP,65645.32,Expired,3/21/2022,Yes,Yes,No,,Dormant
ACC0019,Safe Deposit,Fujairah,VIP,154111.98,Valid,1/11/2022,No,Yes,Yes,,Dormant
ACC0020,Savings/Call/Current,Al Ain,Corporate,380219.36,Expired,2/26/2022,Yes,No,Yes,,Dormant
ACC0021,Fixed Deposit,Sharjah,Retail,473629.25,Expired,3/28/2022,No,Yes,No,3/28/2027,Active
ACC0022,Savings/Call/Current,Dubai,Corporate,61426.37,Valid,3/20/2022,Yes,Yes,Yes,,Dormant
ACC0023,Safe Deposit,Fujairah,Youth,399940.45,Expired,6/24/2021,Yes,Yes,Yes,,Dormant
ACC0024,Fixed Deposit,Fujairah,Corporate,169306.77,Expired,12/20/2021,Yes,Yes,No,12/20/2026,Active
ACC0025,Fixed Deposit,Fujairah,VIP,128194.41,Expired,5/15/2021,No,Yes,No,5/15/2026,Active
ACC0026,Savings/Call/Current,Dubai,VIP,34943.15,Expired,4/14/2021,Yes,Yes,Yes,,Dormant
ACC0027,Investment,Fujairah,Corporate,156591.6,Valid,6/27/2021,Yes,No,Yes,,Dormant
ACC0028,Fixed Deposit,Sharjah,Corporate,112800.89,Valid,3/25/2021,No,Yes,Yes,3/25/2026,Active
ACC0029,Savings/Call/Current,Al Ain,Youth,192318.12,Expired,4/3/2021,No,No,Yes,,Dormant
ACC0030,Fixed Deposit,Abu Dhabi,Retail,213250.32,Valid,5/14/2021,No,No,Yes,5/14/2026,Active
ACC0031,Investment,Fujairah,Corporate,422280.59,Valid,6/28/2021,Yes,Yes,Yes,,Dormant
ACC0032,Safe Deposit,Fujairah,Youth,174958.82,Valid,12/26/2021,No,Yes,Yes,,Dormant
ACC0033,Savings/Call/Current,Abu Dhabi,Youth,452942.72,Valid,9/20/2021,No,No,Yes,,Dormant
ACC0034,Investment,Al Ain,VIP,216150.77,Valid,5/23/2021,Yes,Yes,Yes,,Dormant
ACC0035,Savings/Call/Current,Al Ain,Corporate,81523.73,Valid,10/6/2021,Yes,No,Yes,,Dormant
ACC0036,Savings/Call/Current,Fujairah,Corporate,357333.93,Valid,6/4/2021,Yes,No,No,,Dormant
ACC0037,Savings/Call/Current,Al Ain,VIP,173367.87,Valid,4/9/2022,No,No,Yes,,Dormant
ACC0038,Investment,Sharjah,Retail,332772.24,Valid,8/13/2021,No,Yes,Yes,,Dormant
ACC0039,Savings/Call/Current,Sharjah,Corporate,341295.41,Valid,12/16/2021,Yes,Yes,No,,Dormant
ACC0040,Fixed Deposit,Dubai,Retail,155694.81,Expired,12/18/2021,No,No,Yes,12/18/2026,Active
ACC0041,Safe Deposit,Abu Dhabi,VIP,356322.99,Expired,12/9/2021,Yes,Yes,Yes,,Dormant
ACC0042,Investment,Fujairah,VIP,62236.49,Valid,12/3/2021,No,No,No,,Dormant
ACC0043,Investment,Dubai,Youth,482921.66,Valid,3/14/2021,Yes,No,No,,Dormant
ACC0044,Investment,Fujairah,VIP,157191.27,Valid,4/22/2021,No,Yes,Yes,,Dormant
ACC0045,Investment,Fujairah,Corporate,278131.14,Valid,12/25/2021,No,Yes,Yes,,Dormant
ACC0046,Investment,Al Ain,VIP,182420.73,Expired,12/22/2021,Yes,Yes,No,,Dormant
ACC0047,Safe Deposit,Fujairah,VIP,128243.74,Valid,10/12/2021,No,Yes,No,,Dormant
ACC0048,Fixed Deposit,Fujairah,Retail,116937.59,Valid,6/21/2021,Yes,Yes,No,6/21/2026,Active
ACC0049,Safe Deposit,Abu Dhabi,Youth,11161.19,Expired,10/24/2021,No,Yes,Yes,,Dormant
ACC0050,Fixed Deposit,Abu Dhabi,Corporate,239585.11,Expired,9/30/2021,Yes,Yes,Yes,9/30/2026,Active
ACC0051,Fixed Deposit,Fujairah,Youth,213045.53,Valid,2/11/2022,No,Yes,Yes,2/11/2027,Active
ACC0052,Fixed Deposit,Fujairah,Corporate,149103.67,Valid,10/12/2021,No,Yes,No,10/12/2026,Active
ACC0053,Safe Deposit,Abu Dhabi,Corporate,178786.69,Valid,8/9/2021,Yes,No,Yes,,Dormant
ACC0054,Savings/Call/Current,Abu Dhabi,VIP,24550.45,Expired,5/24/2021,No,Yes,No,,Dormant
ACC0055,Safe Deposit,Fujairah,Retail,439700.71,Valid,6/6/2021,Yes,No,No,,Dormant
ACC0056,Fixed Deposit,Sharjah,VIP,37215.7,Expired,5/12/2021,Yes,Yes,No,5/12/2026,Active
ACC0057,Safe Deposit,Sharjah,Corporate,392358.03,Valid,9/7/2021,No,No,Yes,,Dormant
ACC0058,Safe Deposit,Sharjah,VIP,14944.18,Expired,10/9/2021,No,No,No,,Dormant
ACC0059,Safe Deposit,Sharjah,Youth,193971.85,Valid,12/12/2021,No,No,No,,Dormant
ACC0060,Savings/Call/Current,Fujairah,Youth,240344.44,Expired,1/30/2022,No,Yes,No,,Dormant
ACC0061,Savings/Call/Current,Al Ain,Corporate,318768.56,Expired,6/18/2021,Yes,No,Yes,,Dormant
ACC0062,Investment,Al Ain,Retail,386694.01,Valid,2/16/2022,No,No,Yes,,Dormant
ACC0063,Fixed Deposit,Sharjah,Retail,278484.57,Expired,4/3/2021,No,No,No,4/3/2026,Active
